dt_scraping,link,title,price,useful_area,m2_value,neighborhood,city,rooms,parking,condo_value,iptu,total_area,land_area,floor,floor_properties,suites,exchange,financing
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-qmsw-4-78702,QMSW 4,1900.0,37.0,51.0,SUDOESTE,BRASÍLIA,2,1,580.0,158.0,37.0,0.0,0,,0,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-sgcv-lote-14-773072,SGCV Lote 14,5200.0,76.0,68.0,PARK SUL,BRASÍLIA,3,2,606.0,348.0,76.0,0.0,0,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-norte-aguas-claras-df-rua-5-798293,Rua 5,1480.0,33.0,44.0,NORTE,ÁGUAS CLARAS,1,1,304.0,111.0,33.0,0.0,0,,0,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-vicente-pires-vicente-pires-df-rua-10-chacara-325-769495,Rua 10 Chacará 325,1100.0,46.0,23.0,VICENTE PIRES,VICENTE PIRES,1,0,150.0,0.0,46.0,0.0,0,,0,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sul-aguas-claras-df-avenida-pau-brasil-574360,Avenida Pau Brasil,6299.0,118.0,53.0,SUL,ÁGUAS CLARAS,2,2,852.0,1364.0,118.0,0.0,0,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-104-bloco-a-750876,SQNW 104 Bloco A  - Residencial Lara Carvalho,6200.0,107.0,57.0,NOROESTE,BRASÍLIA,3,2,1261.0,0.0,0.0,0.0,5,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-norte-aguas-claras-df-quadra-107-120446,Quadra 107,2400.0,58.0,41.0,NORTE,ÁGUAS CLARAS,2,2,669.0,91.0,58.0,0.0,0,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-105-bloco-h-179262,SQSW 105 Bloco H,5000.0,115.0,43.0,SUDOESTE,BRASÍLIA,3,2,1056.0,480.0,0.0,0.0,0,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-clsw-104-bloco-c-91141,CLSW 104 Bloco C,1100.0,31.0,35.0,SUDOESTE,BRASÍLIA,1,0,409.0,337.0,31.0,0.0,0,,0,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-park-sul-brasilia-df-sgcv-183734,SGCV,3450.0,42.0,82.0,PARK SUL,BRASÍLIA,1,0,568.0,998.0,0.0,0.0,0,,0,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-sgcv-781586,SGCV,5500.0,78.0,70.0,PARK SUL,BRASÍLIA,3,1,820.0,174.0,0.0,0.0,0,,3,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sul-aguas-claras-df-rua-4-466371,Rua 4  - Oscar Freire,3400.0,101.0,33.0,SUL,ÁGUAS CLARAS,3,2,836.0,1417.0,0.0,0.0,0,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-300-738491,SQSW 300,8900.0,149.0,59.0,SUDOESTE,BRASÍLIA,4,2,1900.0,0.0,149.0,0.0,0,2,3,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-ceilandia-norte-ceilandia-df-qnn-27-modulo-c-775539,QNN 27 Módulo C,3300.0,88.0,37.0,CEILANDIA NORTE,CEILÂNDIA,3,2,750.0,0.0,0.0,0.0,1,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sul-aguas-claras-df-rua-4-794642,Rua 4  - Residencial Oscar Freire,3500.0,100.0,35.0,SUL,ÁGUAS CLARAS,2,2,797.0,1300.0,100.0,0.0,0,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-norte-aguas-claras-df-rua-das-pitangueiras-782511,Rua DAS PITANGUEIRAS  - Residencial Rhodes,2700.0,74.0,36.0,NORTE,ÁGUAS CLARAS,2,1,580.0,1200.0,86.0,2000.0,14,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-norte-aguas-claras-df-rua-27-762857,Rua 27  - Square Garden Home & Mall,5000.0,112.0,44.0,NORTE,ÁGUAS CLARAS,3,2,850.0,0.0,112.0,0.0,8,2,2,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-samambaia-norte-samambaia-df-qr-210-conjunto-25-804522,QR 210 Conjunto 25,900.0,33.0,27.0,SAMAMBAIA NORTE,SAMAMBAIA,1,0,0.0,0.0,0.0,0.0,1,,0,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-norte-aguas-claras-df-quadra-101-683871,Quadra 101  - Residencial Eliane Fleury,2300.0,62.0,37.0,NORTE,ÁGUAS CLARAS,2,1,550.0,0.0,111.11,0.0,8,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-1-429066,CCSW 1,4400.0,26.0,169.0,SUDOESTE,BRASÍLIA,1,1,410.0,0.0,0.0,0.0,0,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-norte-aguas-claras-df-rua-4-803764,Rua 4  - Residencial Cedro,3000.0,104.0,28.0,NORTE,ÁGUAS CLARAS,3,1,650.0,0.0,104.0,0.0,7,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-taguatinga-norte-taguatinga-df-qna-56-720613,QNA 56,1800.0,102.0,17.0,TAGUATINGA NORTE,TAGUATINGA,3,2,450.0,0.0,102.0,0.0,0,,0,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-nucleo-bandeirante-nucleo-bandeirante-df-terceira-avenida-area-especial-13-504542,Terceira Avenida Área Especial 13,2400.0,89.0,26.0,NUCLEO BANDEIRANTE,NÚCLEO BANDEIRANTE,3,1,447.0,903.0,89.0,0.0,0,,1,,
2023-07-21 21:31:37,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-clnw-2-3-799237,CLNW 2/3,4900.0,55.0,89.0,NOROESTE,BRASÍLIA,2,1,828.0,0.0,0.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-setor-habitacional-fercal-sobradinho-df-engenho-velho-quadra-8-246671,Engenho Velho Quadra 8,870.0,40.0,21.0,SETOR HABITACIONAL FERCAL,SOBRADINHO,1,0,0.0,0.0,0.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-sudoeste-brasilia-df-sqsw-104-bloco-e-678577,SQSW 104 Bloco E,7900.0,164.08,48.0,SUDOESTE,BRASÍLIA,4,2,1650.0,0.0,0.0,0.0,0,,2,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-sul-brasilia-df-sqs-415-131012,SQS 415,2250.0,44.0,51.0,ASA SUL,BRASÍLIA,2,0,460.0,56.0,0.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-taguatinga-centro-taguatinga-df-quadra-c-3-786899,Quadra C 3,3000.0,118.0,25.0,TAGUATINGA CENTRO,TAGUATINGA,3,1,437.0,0.0,0.0,0.0,0,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-vicente-pires-vicente-pires-df-rua-5-chacara-115-765661,Rua 5 Chacará 115,1570.0,40.0,39.0,VICENTE PIRES,VICENTE PIRES,2,1,290.0,0.0,0.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-sgcv-lote-14-283920,SGCV Lote 14  - VILLAGGIO PARK SUL,5900.0,77.91,75.0,PARK SUL,BRASÍLIA,3,2,0.0,0.0,0.0,0.0,6,6,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-octogonal-brasilia-df-aos-07-805815,AOS 07,3000.0,66.0,45.0,OCTOGONAL,BRASÍLIA,2,1,941.0,1390.0,0.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-grande-colorado-sobradinho-df-rodovia-df-150-266189,Rodovia DF 150  - RES CAFÉ PLANALTO,1800.0,90.0,20.0,GRANDE COLORADO,SOBRADINHO,3,1,80.0,0.0,0.0,0.0,2,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-norte-aguas-claras-df-rua-copaiba-685464,Rua COPAIBA  - Df Century Plaza,2550.0,44.0,57.0,NORTE,ÁGUAS CLARAS,1,1,548.0,870.0,56.0,0.0,6,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-4-749656,CCSW 4,2000.0,26.0,76.0,SUDOESTE,BRASÍLIA,1,1,400.0,120.0,40.0,0.0,2,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sul-aguas-claras-df-avenida-parque-aguas-claras-659844,Avenida Parque Águas Claras,3500.0,70.0,50.0,SUL,ÁGUAS CLARAS,3,1,600.0,0.0,0.0,0.0,0,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-109-769503,SQNW 109,7000.0,127.0,55.0,NOROESTE,BRASÍLIA,3,2,1448.0,0.0,0.0,0.0,0,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-303-769621,SQNW 303,7200.0,148.86,48.0,NOROESTE,BRASÍLIA,2,2,1114.0,0.0,148.86,0.0,0,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shn-quadra-05-bloco-g-588094,SHN Quadra 05 Bloco G,6500.0,55.0,118.0,ASA NORTE,BRASÍLIA,1,0,0.0,0.0,0.0,0.0,0,,1,,Sim
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-guara-ii-guara-df-qe-40-conjunto-e-753742,QE 40 Conjunto E,625.0,30.0,20.0,GUARA II,GUARÁ,1,0,0.0,0.0,30.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-qmsw-4-lote-10-787695,QMSW 4 Lote 10,2850.0,50.0,57.0,SUDOESTE,BRASÍLIA,2,1,490.0,0.0,50.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-norte-aguas-claras-df-rua-das-carnaubas-720497,Rua DAS CARNAUBAS  - Edifício Luna Park,1250.0,30.63,40.0,NORTE,ÁGUAS CLARAS,1,1,430.0,0.0,67.62,0.0,10,4,1,,Sim
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-519844,CA 02,2800.0,63.0,44.0,LAGO NORTE,BRASÍLIA,1,1,446.0,78.0,0.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-vicente-pires-vicente-pires-df-rua-4a-chacara-111-642428,Rua 4A Chacará 111,700.0,27.0,25.0,VICENTE PIRES,VICENTE PIRES,1,0,150.0,0.0,27.0,0.0,0,,0,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-guara-ii-guara-df-qi-27-bloco-a-ao-c-lote-07-09-800848,QI 27 Bloco A AO C Lote 07/09,2350.0,74.0,31.0,GUARA II,GUARÁ,3,1,545.0,1004.0,0.0,0.0,2,,1,,
2023-07-21 21:31:38,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-guara-ii-guara-df-area-especial-02-modulo-a-581802,Área Especial 02 Módulo A,2700.0,66.0,40.0,GUARA II,GUARÁ,2,1,604.0,58.0,66.0,0.0,0,,1,,
